Fecha de venta,Ciudad,Producto,Precio unitario,Cantidad,Monto total,Cliente,Email,ID de orden
"Dec 28, 2024",Monterrey,Auriculares-Bluetooth-16GB,1724.31,2,3448.62,Alejandra Rold√°n,almafajardo@proyectos.com,530801f5-4c88-4d00-b297-5944ebece83d
10/12/2024,Bogotá,Teléfono-Gama alta-16GB ,1445.1,4,5780.4,Lorenzo Wendolin M√©ndez Gollum,ffuentes@ochoa-molina.com,116022d7-56fc-4596-aeba-30c58ab21dbf
"Nov 14, 2024",Cali,Tablet-Estándar-16GB,1618.43,3,4855.29,Catalina Adela Galarza Camacho,yfarias@industrias.com,6685e5bb-9081-494c-b6aa-422ddb87955d
29/12/2024,Ciudad de M√©xico,Teléfono-Gama media-4GB,2070.23,5,10351.15,Aldo Rodr√≠gez,isabelojeda@grupo.com,f8087330-1de4-4af6-8cae-e91d660b819f
11/10/2024,Medellín,Teléfono-Gama baja-8GB,763.62,1,763.62,Sr(a). Carlota Aguayo,auroralugo@acuna-mercado.com,d58eb71d-bd78-4ec3-8a70-34213c01464b
"Dec 16, 2024",Monterrey,Teléfono-Gama media-4GB,658.01,5,3290.05,Aurora Amador Mendoza Prieto,margarita69@grupo.net,45698812-aa8b-4fea-b214-81743c8c3e1d
14/10/2024,MONTERREY,Tablet-Pro-4GB,162.56,4,650.24,Gabino Rub√©n Men√©ndez,bernardovillagomez@laboratorios.org,df7f87e2-753a-411f-bbe9-b634b149f17c
12/31/2024,Cali,Laptop-Ultraliviana-32GB,1721.22,4,6884.88,Roberto Mar√≠a Cristina Madera Alejandro,teodoro56@yahoo.com,bfde20ee-a837-4bd7-af36-f9e5b40dfe3b
"Oct 03, 2024",Bogotá,Tablet-Estándar-16GB,741.79,2,1483.58,Uriel Helena Caldera,pizarrojaqueline@acuna-moreno.com,91de2837-a873-4607-8185-7fa6844d2be8
11/10/2024,CIUDAD DE M√âXICO ,Auriculares-Cancelación de ruido-4GB,489.42,3,1468.26,Sr(a). M√≥nica Cortez,benito43@corporacin.com,814e531c-1781-4af9-86e2-0da4494565c9
12/24/2024,Ciudad de M√©xico,Laptop-Oficina-16GB,1247.53,4,4990.12,Trinidad Badillo,coronadomodesto@hotmail.com,698672ae-dbbd-4086-a5f7-90c3dfe00ff8
"Oct 27, 2024",Cali,Teléfono-Gama baja-4GB,273.42,4,1093.68,Noem√≠ Julia Zepeda,gilalta-gracia@miramontes.com,102bcf63-b887-46cb-8d4f-8c9404340da9
14/11/2024,Bogotá,Teléfono-Gama media-4GB,160.68,1,160.68,Armando Ricardo Dur√°n,trevinozeferino@hotmail.com,c2c34b94-f490-4a39-9f0d-d895d228fae3
11/28/2024,Tulum,Teléfono-Gama alta-16GB,2297.62,4,9190.48,Asunci√≥n Rebeca Rivero,rosalia18@gmail.com,dba5fcd9-c9cd-46ba-a785-12d580ffe57a
"Nov 05, 2024",Ciudad de M√©xico,Laptop-Gaming-8GB,1040.78,2,2081.56,Ruby Virginia Salcido,zoe99@ornelas.com,10459092-6977-440d-ad85-b85e03763cf7
23/10/2024,Cali,Laptop-Oficina-8GB,1850.94,1,1850.94,Blanca Ord√≥√±ez Matos,yuridiavillagomez@yahoo.com,e9bf9df3-945d-4164-9afd-4e3cdee9991c
12/31/2024,Guadalajara,Auriculares-Con cable-8GB,134.89,5,674.45,Mar√≠a Jos√© Jacobo Perales Ortiz,oliver93@hotmail.com,ead07a50-6dc3-4997-a078-77b5ae38bb54
10/08/2024,Medellín,Laptop-Ultraliviana-4GB,2314.37,5,11571.85,Rosalia Alc√°ntar,luisamata@barajas-de.org,a9fee7b5-3729-4db8-815f-355ff6236823
"Dec 15, 2024",Monterrey,Tablet-Mini-8GB,787.6,1,787.6,Emilio Almaraz,avera@yahoo.com,72bb2e02-f0ab-4425-ad19-83e3487dfc79
25/12/2024,Guadalajara,Auriculares-Cancelación de ruido-32GB,1532.2,1,1532.2,Dar√≠o Mart√≠n Tovar,eduardo10@gmail.com,ced0a1f9-ee13-48fd-ae58-db4f7cdfb189
10/29/2024,Guadalajara,Auriculares-Cancelación de ruido-8GB,1741.09,4,6964.36,Nadia Ana Mar√≠a Merino Arteaga,arico@almaraz-ontiveros.com,446489c3-d916-48e8-af47-535cb42956ac
12/14/2024,Cali,Laptop-Gaming-4GB,2116.69,2,4233.38,Uriel Montes Contreras,fserrano@vela.com,ab896c73-e2a6-4dc5-922f-889ab750954e
"Oct 12, 2024",Guadalajara,Auriculares-Bluetooth-4GB,1065.52,2,2131.04,Seraf√≠n Samuel Tamayo B√°ez,bruno78@vega.org,c196a64f-ac47-4c79-b416-d0807432cfa3
01/11/2024,Bogotá,Auriculares-Con cable-16GB,1919.71,4,7678.84,Lic. Jos√© Manu√©l Torres,renatoorellana@gmail.com,5004d2bb-d9ba-4955-8ee4-bf09d5db221e
11/15/2024,Medellín,Tablet-Pro-8GB,450.01,4,1800.04,Daniel Carlota Arredondo Linares,olveraalvaro@hotmail.com,50132920-f6aa-4e4d-8964-c48df8dcf12f
"Dec 03, 2024",Medellín,Laptop-Gaming-32GB,2294.28,1,2294.28,Hilda Razo Lerma,salvadorsuarez@gmail.com,5eb1511c-6bde-49b4-b1e9-39aeeca914bc
12/05/2024,Ciudad de M√©xico,Tablet-Mini-4GB,496.1,3,1488.3,Mauricio Oquendo Bustos,yalba@corporacin.com,36d91d20-825b-4909-9326-ca55a5ba261f
20/10/2024,Ciudad de M√©xico,Tablet-Mini-16GB,1529.1,1,1529.1,Amalia Guillermina Ozuna Santana,ramiroenriquez@borrego-cuellar.com,62a28aa3-fc75-41e7-abc8-fbb577726ebd
11/30/2024,Medellín,Laptop-Oficina-16GB,2256.04,5,11280.2,Gabino Barrera Quiroz,razoraul@yahoo.com,02858336-ce07-4437-8326-04e65dd55fe4
"Dec 23, 2024",Guadalajara,Tablet-Estándar-4GB,625.26,5,3126.3,Dr. Alonso Lucero,villegasalejandra@gmail.com,46930688-ab22-4f38-922e-c8bdee972554
11/11/2024,Cali,Laptop-Ultraliviana-16GB,1933.07,3,5799.21,Zeferino Clara Ure√±a Ramos,anaranjo@despacho.com,00f3b5c0-94a8-46ed-a8a8-4d11bde44da7
11/01/2024,Cali.  ,Teléfono-Gama baja-32GB,434.9,1,434.9,Mtro. Magdalena Morales,catalina33@yahoo.com,9d83faf6-b95d-4623-85a1-78d8b416dd3f
"Oct 31, 2024",Tulum,Laptop-Oficina-32GB,1889.28,4,7557.12,Mar√≠a Cristina Raquel Carranza Orosco,ernesto07@gmail.com,3217ab5c-f143-443a-aece-3a47846a3ff2
12/10/2024,Monterrey,Laptop-Oficina-32GB,1708.81,1,1708.81,Jorge Luis Baca,egalindo@gmail.com,2f12cb9e-2010-490d-9bfa-31410ba27433
10/22/2024,Ciudad de M√©xico,Laptop-Oficina-8GB ,1524.07,1,1524.07,Abelardo H√©ctor Brito Solorzano,eugenia47@de.com,ac86de05-18a9-4269-876c-d1c20900fd8f
"Dec 28, 2024",Monterrey,Laptop-Ultraliviana-4GB,372.92,3,1118.76,Pilar Luisa Bonilla Garrido,silviapabon@corporacin.com,403acb42-0f8a-41c6-b42a-d1adc4b62bfb
"Oct 08, 2024",Medellín,Tablet-Estándar-4GB,2168.25,3,6504.75,Fernando M√°rquez Almaraz,benitezcarlota@yahoo.com,1d366307-d6bd-4e44-b202-bab1ce141dbd
10/15/2024,Monterrey,Auriculares-Cancelación de ruido-8GB,882.55,5,4412.75,Ver√≥nica Wendolin Ter√°n,felipe81@espino.info,6a83774a-e4f8-4c9b-ae75-2c985e801156
12/18/2024,Bogotá,Laptop-Ultraliviana-16GB,602.68,3,1808.04,Lic. Ricardo Coronado,opaz@proyectos.net,84862dcd-d58c-423c-99b1-8b1ee8b38e4e
11/17/2024,Medellín,Teléfono-Gama alta-32GB ,2405.31,5,,Virginia Aldonza Zamora Longoria,bpacheco@hotmail.com,512f8818-bb8d-466a-9f10-79bd8f52408b
"Nov 25, 2024",Guadalajara,Auriculares-Bluetooth-16GB,564.69,2,1129.38,Alonso Paola Rocha,ujasso@olivares.com,8588db90-3e5f-471e-8500-c89cbc6d1623
12/20/2024,Cali,Teléfono-Gama media-4GB,2373.12,2,4746.24,Aida Marrero,juana18@yahoo.com,84603ef1-6930-4a3e-b3f4-2e56b1a84398
10/10/2024,BOGOT√Å,Laptop-Oficina-16GB,278.37,3,835.11,Mtro. C√©sar Verduzco,maria-elena87@proyectos.biz,af1640cb-8d21-4be4-a497-cf19ebe3fa3e
"Dec 07, 2024",Monterrey,Laptop-Gaming-4GB,1636.89,2,3273.78,Rodrigo Yeni Avil√©s,juan-carlos48@del.info,fa21bde8-c128-4e66-83c3-a35891b527e7
11/13/2024,Bogotá,Auriculares-Bluetooth-4GB,,1,1787.41,Cynthia Aguilera Figueroa,eloyarroyo@yahoo.com,6a533065-10e9-417f-90b8-cc321916284c
12/02/2024,GUADALAJARA,Tablet-Mini-16GB,218.94,3,656.82,Omar Casares Benav√≠dez,humberto17@tapia.com,be2593fe-882a-47b4-84fb-96d56973714b
"Nov 19, 2024",Monterrey,Laptop-Ultraliviana-4GB,1077.1,5,5385.5,Sr(a). Mario Cort√©s,oliviacarmona@magana.net,9b5f5828-58aa-4107-b467-e223f64cae41
21/11/2024,Ciudad de M√©xico,Laptop-Oficina-4GB,2297.78,4,9191.12,Delia Rosario,guruleserafin@industrias.biz,a23fb156-d7f0-48b3-8429-51722fc91010
11/07/2024,Ciudad de M√©xico,Tablet-Estándar-4GB,127.95,4,511.8,Citlali Jorge Gast√©lum,patricia75@corporacin.com,b7d845eb-4a64-4099-a793-3f93363ea49e
"Dec 31, 2024",Cali,Teléfono-Gama alta-4GB,1545.28,2,3090.56,Lic. Mateo Salazar,aurora38@hotmail.com,8d472941-b5df-4f80-b3a6-ece0e6978e8a
24/12/2024,Medellín,Tablet-Estándar-16GB,97.52,1,97.52,Ing. Emilia Fajardo,estelarocha@oquendo.org,8e37e816-5b3d-4cf1-9cef-cf002ceb456f
12/11/2024,Bogotá,Tablet-Pro-4GB,817.03,2,1634.06,Leonel Salcido,carranzamaria-jose@yahoo.com,b970ae82-fee0-482e-b413-b42d8439bc7e
"Oct 18, 2024",Monterrey,Auriculares-Bluetooth-4GB,721.04,4,2884.16,Ren√© Rafa√©l Rocha,hugodel-rio@reyna.com,21eb6780-a2cf-4959-81fd-6bec09658cd0
12/22/2024,Guadalajara,Tablet-Mini-8GB,1636.65,2,3273.3,Gonzalo Rasc√≥n,hilda61@grupo.info,632f3ed9-ab81-468b-93d0-16a797a5d1c7
11/04/2024,Medellín,Teléfono-Gama alta-16GB,2114.2,5,10571,Patricio Palomino,carolinaoquendo@industrias.net,b3d5e0b4-2834-4e54-a96a-d9085614ca23
"Dec 13, 2024",Monterrey,Laptop-Oficina-16GB,934.1,2,1868.2,Roberto Mateo Hurtado Le√≥n,sperales@hotmail.com,0332c3e0-2f25-4dfd-ad14-79f12be80567
10/25/2024,Ciudad de M√©xico,Tel√©fono-Gama media-8GB,2095.64,5,10478.2,Dr. Agust√≠n Sandoval,cornelio15@grupo.com,1a1b2b13-06f4-45bf-a9e9-678df211aedf
"Nov 29, 2024",Guadalajara,Tablet-Estándar-4GB,337.5,5,1687.5,Silvano Villanueva Alcaraz,nunezmanuel@yahoo.com,da98ee54-efa1-4a37-a44f-16e69c8a3769
10/24/2024,Cali,Auriculares-Con cable-8GB,1962.79,3,5888.37,Gonzalo Cort√©s Nieto,cabanmauricio@partida-barrios.net,f175c4e2-a107-42a1-87d8-ae02bbeada76
"Dec 01, 2024",Ciudad de M√©xico,Tablet-Estándar-8GB,2261.15,1,2261.15,Marco Antonio Mercado Henr√≠quez,grobledo@gmail.com,6c9a8394-7c0d-49dd-814c-cdca8e78dbd5
11/04/2024,Bogotá,Laptop-Gaming-32GB,1491.19,5,7455.95,Elias Sotelo Espinal,tvalle@guzman.org,4082ebc9-a484-41c7-ae7f-fcdfa5f8c7f8
11/23/2024,CALI,Tablet-Pro-16GB,405.62,4,1622.48,√Ångel D√°vila,lomelivictoria@alvarez-olivo.org,4466335e-c645-4d4b-a152-4044038bf97c
11/03/2024,Monterrey,Laptop-Oficina-32GB,2157.37,5,10786.85,Ing. Alejandra Delgadillo,casaresramon@hotmail.com,bc02e752-e8f9-4729-a7cd-24ba1ff00164
11/13/2024,Monterrey,Tablet-Mini-8GB,625.41,2,1250.82,Arturo Haro Varela,ssosa@hotmail.com,2feb799d-af20-4c3b-99b5-36c59009058b
10/13/2024,Monterrey,Tablet-Mini-8GB,1664.18,3,4992.54,Asunci√≥n Samaniego,arellanoalfredo@gmail.com,4e9e641c-a0d6-4903-8f6e-f87d90c24aa0
"Nov 26, 2024",Monterrey,Tablet-Estándar-32GB,2229.46,3,6688.38,Paola Leyva Maestas,reynaldogaribay@hotmail.com,dafa21d9-a2ea-4867-b143-31f8243c024c
11/07/2024,Cali,Auriculares-Cancelación de ruido-32GB,371.34,3,1114.02,Ren√© Luna Pineda,hocampo@corporacin.net,75b08c4a-c440-4f59-a757-c070085c6101
13/10/2024,Cali,Laptop-Oficina-16GB,,4,9938.64,Israel de Anda Rodr√≠guez,sonia24@gmail.com,7da07b63-351f-4e52-aa15-8e1320b57edf
29/10/2024,Cali,Teléfono-Gama media-32GB,271.58,5,1357.9,Benito Carla Cano Olvera,antoniovillalobos@gmail.com,7f6c0f86-6158-4f16-8105-a9407f403fe9
"Nov 20, 2024",Medellín,Laptop-Ultraliviana-4GB,2371.6,2,4743.2,Timoteo Abelardo Ur√≠as Ni√±o,bfajardo@gmail.com,279ccf00-0de5-4813-a6ed-58a52bc1a5ad
"Oct 22, 2024",Cali,Laptop-Oficina-16GB,2392.65,4,9570.6,Julia Gonzalo Armend√°riz,jose-manuelcazares@franco.org,ce229233-81ec-4127-be94-95ce93175cd4
11/21/2024,Monterrey,Laptop-Gaming-32GB,1738.96,4,6955.84,Carlota Julio de Jes√∫s,de-la-fuentereina@gmail.com,17ce4fbf-b0f5-4e3b-aeb9-956b5c881168
23/11/2024,Cali,Teléfono-Gama alta-8GB,1877.63,2,3755.26,Abelardo Cynthia Crespo,ecasas@yahoo.com,bfef5ecf-9029-4f0b-9ca9-4cce9f340385
12/21/2024,Medellín,Auriculares-Cancelación de ruido-32GB,1547.71,5,7738.55,Susana Ju√°rez,marthabaez@gmail.com,dca0f25c-824a-4634-827c-d385dafa7123
30/11/2024,Guadalajara,Teléfono-Gama media-4GB,1254.72,2,2509.44,Claudio Laura Corona Cordero,solizespartaco@raya.com,b3a633a5-e62e-4c18-a2a7-1e1b9a949d2a
28/12/2024,Monterrey,Tablet-Estándar-4GB,2087.84,1,2087.84,Anabel Gonzalo Pedroza,helena29@leiva.com,3c3a1e13-f9c9-448a-91f3-059857dd86f5
"Nov 23, 2024",Guadalajara,Teléfono-Gama alta-8GB,,3,4978.62,Ing. Amanda Prado,ursulaespinoza@de.info,a60e107a-d3cc-46c7-9a8e-b0aa9cfa7817
"Nov 04, 2024",Guadalajara,Tablet-Pro-8GB,1849.07,5,9245.35,Mtro. Camila Montemayor,jose-eduardo21@yahoo.com,a6735135-46d8-4997-ad55-d449e18fd075
"Oct 29, 2024",Ciudad de M√©xico,Teléfono-Gama baja-16GB,1290.52,3,3871.56,Ing. Marcela Guzm√°n,dvillegas@despacho.com,56344cb2-c22e-400d-87dd-49a631ced56f
10/21/2024,Cali,Tablet-Mini-8GB,392.86,2,785.72,Bruno Samuel Acosta Rasc√≥n,irene40@bustos.info,5eb46f68-93f4-40bf-ade8-2f3822a7d3fe
02/10/2024,Guadalajara,Tablet-Estándar-4GB,1864.02,5,9320.1,Pamela Rolando Ayala,zrenteria@yahoo.com,3c8ea69b-f625-4431-b5c1-1d4bdc621135
"Dec 28, 2024",Monterrey,Auriculares-Con cable-16GB,589.92,3,1769.76,Bernab√© Zaragoza,htorrez@despacho.com,f652769b-e1e8-44a1-8f3d-6f80c1ac3f13
"Dec 24, 2024",Medellín,Teléfono-Gama media-16GB,758.87,3,2276.61,Yuridia Rub√©n Armend√°riz,claudia24@industrias.com,9e945271-543f-4b06-a34e-b1dfcd6b8450
29/10/2024,Medellín,Laptop-Oficina-32GB,489.9,2,979.8,Ver√≥nica Francisca Tafoya,nicolas87@gmail.com,fd16a28b-5ec8-4f7c-aac8-e6c93568cda5
"Oct 16, 2024",Guadalajara,Teléfono-Gama baja-8GB,1614.05,1,1614.05,Aurora Esteban Sisneros Centeno,soniapaez@laboratorios.com,8dcb205e-e032-4baa-a658-7e640f07fe1e
05/10/2024,Cali,Tel√©fono-Gama media-8GB,179.58,3,538.74,Dr. Alonso Abreu,noeliajaquez@corporacin.net,bbcfa88c-1300-46e2-bc6a-e3c6ddbb62d8
"Oct 03, 2024",Bogotá,Tablet-Estándar-8GB,984.34,3,2953.02,Wendolin Jer√≥nimo Far√≠as,yterrazas@hotmail.com,4cfd7c38-6607-4b36-ab60-fb259d4e18b4
"Dec 29, 2024",Monterrey,Tablet-Estándar-4GB,1456.46,4,5825.84,Modesto Rufino Mares Negr√≥n,maytetovar@hotmail.com,1f451643-e6fa-4d54-b03d-304b7a23b3e1
12/16/2024,Medellín,Laptop-Gaming-8GB,421.27,4,1685.08,Ing. Mitzy de la Rosa,larajesus@industrias.com,2c42cc7e-a16c-4dc9-ae59-89dbe94c5127
12/02/2024,Bogotá,Teléfono-Gama baja-4GB,78.53,2,157.06,Mario Fidel Laureano Castro,amadorgarza@yahoo.com,e00df3f6-aa51-4a6d-bf1d-36462af123a2
06/12/2024,Monterrey,Auriculares-Cancelación de ruido-4GB,576.8,3,1730.4,Vicente Israel Cort√©s,herediaclaudio@yahoo.com,bb3ff505-4124-4f45-b8b6-401ab861a5af
11/01/2024,Monterrey,Laptop-Oficina-32GB,719.59,3,2158.77,Lorenzo Minerva Ocampo Aguilar,qsolorzano@despacho.com,7a66e4f7-bc95-4384-85ad-39070d893921
11/05/2024,Ciudad de M√©xico,Auriculares-Cancelación de ruido-8GB,1050.44,5,5252.2,Cristian Jacinto Ornelas,darenas@corporacin.org,9c66ca34-d486-44b8-bf48-2843a252f7a0
12/09/2024,Ciudad de M√©xico,Teléfono-Gama media-16GB,166.45,5,832.25,Noelia Le√≥n Sanches,fidelvazquez@estrada.info,15c297bf-5d8e-4902-b9f9-0205a370b77e
"Oct 20, 2024",Ciudad de M√©xico,Tablet-Estándar-4GB,2299.22,5,11496.1,Sr(a). Manuel T√≥rrez,zbarajas@industrias.com,ed2140fd-8a01-4a73-bd2d-02153d2e7f26
30/10/2024,Medellín,Teléfono-Gama alta-32GB,599.4,1,599.4,Yeni Indira Loya,colladoelvira@yahoo.com,ad128167-ed41-4cfc-980f-861300230ea2
"Oct 07, 2024",Ciudad de M√©xico,Laptop-Oficina-8GB,370.25,4,1481,Francisca Lucas Jaimes Zavala,baezjonas@proyectos.org,9c8710a3-d9ef-4a00-9c0b-7c93d5fb8f63
29/12/2024,Ciudad de M√©xico,Auriculares-Cancelaci√≥n de ruido-16GB,1747.28,1,1747.28,Esteban Violeta Loya,isaucedo@gmail.com,8f1343f8-568b-4478-bc57-4112e44e97c4
"Oct 30, 2024",Guadalajara,Laptop-Oficina-32GB,1099.54,2,2199.08,Martha Tamayo Ni√±o,zguardado@grupo.biz,d220d617-88a5-417d-906a-713dd8d57f69
10/10/2024,Medellín,Teléfono-Gama media-32GB,157.57,2,315.14,Ernesto Rend√≥n,nadame@hotmail.com,7c7c5e94-04af-466b-bbd2-9ba60b16b6cc
16/10/2024,Ciudad de M√©xico,Auriculares-Cancelaci√≥n de ruido-16GB,2200.84,3,6602.52,Gustavo Bernardo Brise√±o Mar√≠n,genaro77@pedraza.com,84e9d394-3af7-4da9-9805-83c89cc6120f
12/20/2024,Medellín,Teléfono-Gama media-32GB,290.07,4,1160.28,Benjam√≠n Alejandra Zapata Zamudio,bgranado@mata.biz,d5d39d13-0c4d-4695-9fb3-6fbc66298a78
"Dec 14, 2024",Monterrey,Auriculares-Cancelaci√≥n de ruido-16GB,2312.52,1,2312.52,Gerardo Sauceda,patinoadan@sanchez.biz,e8b495a0-823c-484a-8e06-d1bdd07a0b5f
13/10/2024,Medellín,Auriculares-Cancelaci√≥n de ruido-16GB,1401.28,5,7006.4,Dr. Conchita Nazario,alonsopaz@yahoo.com,6a6b7bb0-7d16-4f28-a74f-712ee43c38a6
23/12/2024,Bogotá,Tablet-Mini-32GB,1407.68,3,4223.04,Dr. Vanesa Valverde,miguel-angel20@hotmail.com,4d3b34a5-8ae2-4de1-a0af-616e0a229665
01/12/2024,Cali,Laptop-Oficina-16GB,2044.86,3,6134.58,Rosario Leticia Calder√≥n Mota,saucedajeronimo@rivera-limon.com,768f4e3f-b865-4aa6-92fa-bf0b9431ed0a
16/10/2024,Bogotá,Auriculares-Cancelación de ruido-8GB,2425.49,5,12127.45,Sr(a). Jer√≥nimo Nava,ozunaamanda@yahoo.com,e3cbaf49-bfb7-417c-9883-c7501381b3e1
11/20/2024,Guadalajara,Tablet-Mini-8GB,1752.92,1,1752.92,Ricardo Eugenio Meza,uriasbernabe@perez-saldivar.com,8f7b25cf-e88f-4704-9a71-5fe4e6e4d0c9
"Dec 27, 2024",Ciudad de M√©xico,Tablet-Estándar-8GB,1935.15,3,5805.45,Lic. Aurora Zamudio,alta-gracia96@club.info,d21d73fe-7b8a-4ddb-a473-47c717ebb087
11/04/2024,Medellín,Teléfono-Gama alta-32GB ,1612.87,4,6451.48,Aldonza Hern√°n Sosa,gracielasosa@gmail.com,4c53a9db-d0fe-42d8-a909-921633d44173
14/12/2024,Medellín,Laptop-Oficina-16GB,1105.02,5,5525.1,Dalia Crespo,carlos81@yahoo.com,7b989337-edb6-498f-9b1d-9056bb83e316
10/18/2024,Cali,Auriculares-Cancelación de ruido-4GB,594.52,2,1189.04,Rodrigo Aldonza Polanco,borregomitzy@hotmail.com,4b66bc0e-757f-46df-8fd9-af3d9751bd47
10/20/2024,Ciudad de M√©xico,Auriculares-Con cable-8GB,1077.13,5,5385.65,Minerva Lorena Santana Botello,cintronbernabe@grupo.biz,1c3f2222-1db8-46db-876a-6f85812ebbbf
10/29/2024,Guadalajara,Tel√©fono-Gama media-8GB,1598.45,3,4795.35,Marisol Espinosa Briones,santacruzanel@hotmail.com,1a50b4b1-1657-4b5e-a237-9cfb5c083efc
12/09/2024,Medellín,Tablet-Mini-8GB,1744.95,2,3489.9,Frida Arroyo Zepeda,enriquevarela@yahoo.com,48fa08f3-3f1d-41d4-98c7-9d364159c3ee
23/10/2024,Ciudad de M√©xico,Teléfono-Gama alta-16GB,2212.26,5,11061.3,Cristian Ofelia Urbina Murillo,zgodoy@gmail.com,ffdae6e0-eb2e-4a6c-8726-a98497d0dedb
"Nov 24, 2024",Bogotá,Auriculares-Cancelación de ruido-4GB,443.81,1,443.81,Oswaldo Trujillo T√≥rrez,bravodiego@zayas.info,873e756f-1f4a-4de6-90ff-4cb697b1e8fe
11/22/2024,Ciudad de M√©xico,Tablet-Estándar-32GB,416.62,5,2083.1,Federico Guillermina Vargas,bernardo49@gmail.com,7ba0efb4-239e-4695-a171-7e53a2d5321c
"Nov 09, 2024",Ciudad de M√©xico,Tablet-Pro-16GB,271.11,2,542.22,Mar√≠a Jos√© Zeferino Avil√©s Zarate,pelayojaqueline@hotmail.com,404fea2a-d896-4427-a0d6-e0581df99ba3
23/12/2024,Guadalajara,Laptop-Gaming-4GB,797.54,4,3190.16,Horacio Moya Noriega,rosalia18@gmail.com,8ed93f26-7deb-40c4-b603-2dab763f14bd
07/12/2024,Cali,Teléfono-Gama baja-8GB,157.83,5,789.15,Abel Teresa Z√∫√±iga,esperanzavelasquez@grupo.com,15e734e2-2950-4516-be09-1c82cf0c10ef
12/18/2024,Medellín,Laptop-Gaming-16GB,1096.28,3,3288.84,Israel Amaya,oliverrenteria@rael-medrano.org,73c9e2ed-d0e0-4b5c-92ac-e3a55014e974
10/04/2024,Ciudad de M√©xico,Auriculares-Con cable-8GB,1086.48,1,1086.48,Cristal Luis Manuel S√°nchez,rocioescalante@hotmail.com,a895a20b-523d-4f9e-a3e5-039259362c4f
16/10/2024,Monterrey,Teléfono-Gama baja-32GB,2361.22,2,4722.44,Rosario Centeno Rosario,ugamez@despacho.com,677b528f-dda1-49de-adfd-cb2648ff77c2
